조건(실험번호),도움됨,예측가능,조화로움,즐거움

A-0,2.1,2.05,2.1,2.1

A-1,4.0,4.4,4.05,4.0

A-2,3.75,4.0,4.05,3.95

A-3,3.85,4.3,3.7,3.5

A-4,3.85,4.4,3.95,4.3

A-5,4.05,3.85,4.0,4.05

A-6,3.75,3.8,3.95,4.25

A-7,4.05,3.85,4.2,4.35

A-8,6.45,6.55,6.25,6.45

A-9,6.2,6.6,6.45,6.4

B-0,1.8,2.05,1.95,1.9

B-1,4.1,4.15,4.0,3.85

B-2,4.0,4.1,3.9,4.4

B-3,3.9,4.15,3.95,3.85

B-4,4.25,3.85,4.1,3.75

B-5,3.65,3.85,3.9,4.05

B-6,4.05,4.2,4.0,3.9

B-7,4.0,4.25,4.3,4.15

B-8,6.75,6.55,6.45,6.4

B-9,6.5,6.5,6.3,6.5

C-0,1.95,2.0,2.0,2.0

C-1,4.0,4.0,3.85,3.8

C-2,4.1,3.75,4.15,4.05

C-3,4.0,3.95,4.1,4.2

C-4,4.05,3.95,4.05,3.9

C-5,4.1,4.1,4.2,3.85

C-6,4.25,4.05,3.9,4.05

C-7,4.05,3.85,4.2,4.05

C-8,6.5,6.4,6.5,6.35

C-9,6.55,6.5,6.55,6.4

